[    1.888786] Interrupt Served: 	 Vector = 0x0000000F
[    1.891774] Interrupt Taken: 	 Vector = 0x0000000F
[    1.891784] Interrupt Served: 	 Vector = 0x0000000F
[    1.894939] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0x00, pc=0x080005AC 
[    1.894954] Interrupt Taken: 	 Vector = 0x0000000F
[    1.894962] Interrupt Served: 	 Vector = 0x0000000F
[    1.897642] Interrupt Taken: 	 Vector = 0x0000000F
[    1.897653] Interrupt Served: 	 Vector = 0x0000000F
[    1.900385] Interrupt Taken: 	 Vector = 0x0000000F
[    1.900407] Interrupt Served: 	 Vector = 0x0000000F
[    1.903357] Interrupt Taken: 	 Vector = 0x0000000F
[    1.903419] Interrupt Served: 	 Vector = 0x0000000F
[    1.906420] Interrupt Taken: 	 Vector = 0x0000000F
[    1.906445] Interrupt Served: 	 Vector = 0x0000000F
[    1.909182] Interrupt Taken: 	 Vector = 0x0000000F
[    1.909198] Interrupt Served: 	 Vector = 0x0000000F
[    1.912322] Interrupt Taken: 	 Vector = 0x0000000F
[    1.912341] Interrupt Served: 	 Vector = 0x0000000F
[    1.915184] [passthrough] Read: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010000, pc=0x08006D2C 
[    1.915511] Interrupt Taken: 	 Vector = 0x0000000F
[    1.915604] Interrupt Served: 	 Vector = 0x0000000F
[    1.918091] Interrupt Taken: 	 Vector = 0x0000000F
[    1.918145] Interrupt Served: 	 Vector = 0x0000000F
[    1.921127] Interrupt Taken: 	 Vector = 0x0000000F
[    1.921153] Interrupt Served: 	 Vector = 0x0000000F
[    1.923871] [passthrough] Write: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010002, pc=0x08006D34 
[    1.924420] Interrupt Taken: 	 Vector = 0x0000000F
[    1.924434] Interrupt Served: 	 Vector = 0x0000000F
[    1.927325] Interrupt Taken: 	 Vector = 0x0000000F
[    1.927341] Interrupt Served: 	 Vector = 0x0000000F
[    1.930316] [passthrough] Read: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010002, pc=0x08006D38 
[    1.930746] Interrupt Taken: 	 Vector = 0x0000000F
[    1.930761] Interrupt Served: 	 Vector = 0x0000000F
[    1.933623] Interrupt Taken: 	 Vector = 0x0000000F
[    1.933648] Interrupt Served: 	 Vector = 0x0000000F
[    1.936787] Interrupt Taken: 	 Vector = 0x0000000F
[    1.936848] Interrupt Served: 	 Vector = 0x0000000F
[    1.939464] Interrupt Taken: 	 Vector = 0x0000000F
[    1.939517] Interrupt Served: 	 Vector = 0x0000000F
[    1.942396] Interrupt Taken: 	 Vector = 0x0000000F
[    1.942420] Interrupt Served: 	 Vector = 0x0000000F
[    1.945486] Interrupt Taken: 	 Vector = 0x0000000F
[    1.945514] Interrupt Served: 	 Vector = 0x0000000F
[    1.948575] Interrupt Taken: 	 Vector = 0x0000000F
[    1.948603] Interrupt Served: 	 Vector = 0x0000000F
[    1.952125] Interrupt Taken: 	 Vector = 0x0000000F
[    1.952159] Interrupt Served: 	 Vector = 0x0000000F
[    1.955123] [passthrough] Read: 	 address = 0x5802480C, size = 4 bytes, value = 0x00000042, pc=0x08006B3A 
[    1.955572] Interrupt Taken: 	 Vector = 0x0000000F
[    1.955595] Interrupt Served: 	 Vector = 0x0000000F
[    1.959298] Interrupt Taken: 	 Vector = 0x0000000F
[    1.959400] Interrupt Served: 	 Vector = 0x0000000F
[    1.962188] Interrupt Taken: 	 Vector = 0x0000000F
[    1.962267] Interrupt Served: 	 Vector = 0x0000000F
[    1.965420] [passthrough] Write: 	 address = 0x5802480C, size = 4 bytes, value = 0x00000042, pc=0x08006B40 
[    1.965983] Interrupt Taken: 	 Vector = 0x0000000F
[    1.966032] Interrupt Served: 	 Vector = 0x0000000F
[    1.969820] Interrupt Taken: 	 Vector = 0x0000000F
[    1.969876] Interrupt Served: 	 Vector = 0x0000000F
[    1.973140] [passthrough] Read: 	 address = 0x58024818, size = 4 bytes, value = 0x00006000, pc=0x08006B46 
[    1.973619] Interrupt Taken: 	 Vector = 0x0000000F
[    1.973697] Interrupt Served: 	 Vector = 0x0000000F
[    1.976418] Interrupt Taken: 	 Vector = 0x0000000F
[    1.976503] Interrupt Served: 	 Vector = 0x0000000F
[    1.980536] Interrupt Taken: 	 Vector = 0x0000000F
[    1.980627] Interrupt Served: 	 Vector = 0x0000000F
[    1.984168] [passthrough] Write: 	 address = 0x58024818, size = 4 bytes, value = 0x0000e000, pc=0x08006B4C 
[    1.984777] Interrupt Taken: 	 Vector = 0x0000000F
[    1.984813] Interrupt Served: 	 Vector = 0x0000000F
[    1.988552] Interrupt Taken: 	 Vector = 0x0000000F
[    1.988604] Interrupt Served: 	 Vector = 0x0000000F
[    1.992194] [passthrough] Read: 	 address = 0x58024818, size = 4 bytes, value = 0x0000e000, pc=0x08006B4E 
[    1.992727] Interrupt Taken: 	 Vector = 0x0000000F
[    1.992781] Interrupt Served: 	 Vector = 0x0000000F
[    1.996432] Interrupt Taken: 	 Vector = 0x0000000F
[    1.996519] Interrupt Served: 	 Vector = 0x0000000F
[    1.999994] [passthrough] Read: 	 address = 0x58024818, size = 4 bytes, value = 0x0000e000, pc=0x08006B58 
[    2.000479] Interrupt Taken: 	 Vector = 0x0000000F
[    2.000542] Interrupt Served: 	 Vector = 0x0000000F
