[    1.933570] Interrupt Served: 	 Vector = 0x0000000F
[    1.935062] Interrupt Taken: 	 Vector = 0x0000000F
[    1.935076] Interrupt Served: 	 Vector = 0x0000000F
[    1.936526] [passthrough] Read: 	 address = 0x40023844, size = 4 bytes, value = 0x00004000, pc=0x08000918 
[    1.936813] Interrupt Taken: 	 Vector = 0x0000000F
[    1.936858] Interrupt Served: 	 Vector = 0x0000000F
[    1.938149] Interrupt Taken: 	 Vector = 0x0000000F
[    1.938184] Interrupt Served: 	 Vector = 0x0000000F
[    1.939791] Interrupt Taken: 	 Vector = 0x0000000F
[    1.939815] Interrupt Served: 	 Vector = 0x0000000F
[    1.941666] Interrupt Taken: 	 Vector = 0x0000000F
[    1.941715] Interrupt Served: 	 Vector = 0x0000000F
[    1.943031] Interrupt Taken: 	 Vector = 0x0000000F
[    1.943074] Interrupt Served: 	 Vector = 0x0000000F
[    1.944611] Interrupt Taken: 	 Vector = 0x0000000F
[    1.944668] Interrupt Served: 	 Vector = 0x0000000F
[    1.946059] Interrupt Taken: 	 Vector = 0x0000000F
[    1.946110] Interrupt Served: 	 Vector = 0x0000000F
[    1.947858] Interrupt Taken: 	 Vector = 0x0000000F
[    1.947885] Interrupt Served: 	 Vector = 0x0000000F
[    1.949585] Interrupt Taken: 	 Vector = 0x0000000F
[    1.949614] Interrupt Served: 	 Vector = 0x0000000F
[    1.951154] Interrupt Taken: 	 Vector = 0x0000000F
[    1.951179] Interrupt Served: 	 Vector = 0x0000000F
[    1.952815] Interrupt Taken: 	 Vector = 0x0000000F
[    1.952836] Interrupt Served: 	 Vector = 0x0000000F
[    1.954533] Interrupt Taken: 	 Vector = 0x0000000F
[    1.954574] Interrupt Served: 	 Vector = 0x0000000F
[    1.957171] Interrupt Taken: 	 Vector = 0x0000000F
[    1.957234] Interrupt Served: 	 Vector = 0x0000000F
[    1.958634] Interrupt Taken: 	 Vector = 0x0000000F
[    1.958679] Interrupt Served: 	 Vector = 0x0000000F
[    1.960506] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x080005C6 
[    1.960865] Interrupt Taken: 	 Vector = 0x0000000F
[    1.960944] Interrupt Served: 	 Vector = 0x0000000F
[    1.962383] Interrupt Taken: 	 Vector = 0x0000000F
[    1.962455] Interrupt Served: 	 Vector = 0x0000000F
[    1.965020] Interrupt Taken: 	 Vector = 0x0000000F
[    1.965063] Interrupt Served: 	 Vector = 0x0000000F
[    1.966800] [passthrough] Write: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x080005CE 
[    1.967317] Interrupt Taken: 	 Vector = 0x0000000F
[    1.967407] Interrupt Served: 	 Vector = 0x0000000F
[    1.968817] Interrupt Taken: 	 Vector = 0x0000000F
[    1.968847] Interrupt Served: 	 Vector = 0x0000000F
[    1.971592] Interrupt Taken: 	 Vector = 0x0000000F
[    1.971636] Interrupt Served: 	 Vector = 0x0000000F
[    1.973590] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x080005D2 
[    1.973926] Interrupt Taken: 	 Vector = 0x0000000F
[    1.974029] Interrupt Served: 	 Vector = 0x0000000F
[    1.975511] Interrupt Taken: 	 Vector = 0x0000000F
[    1.975564] Interrupt Served: 	 Vector = 0x0000000F
[    1.978247] Interrupt Taken: 	 Vector = 0x0000000F
[    1.978421] Interrupt Served: 	 Vector = 0x0000000F
[    1.980575] Interrupt Taken: 	 Vector = 0x0000000F
[    1.980678] Interrupt Served: 	 Vector = 0x0000000F
[    1.983110] [passthrough] Read: 	 address = 0x40007000, size = 4 bytes, value = 0x0000c000, pc=0x080005DE 
