[    1.780159] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000fce
[    1.780232] Interrupt Taken: 	 Vector = 0x0000000F
[    1.780280] Interrupt Served: 	 Vector = 0x0000000F
[    1.784013] Interrupt Taken: 	 Vector = 0x0000000F
[    1.784079] Interrupt Served: 	 Vector = 0x0000000F
[    1.787776] Interrupt Taken: 	 Vector = 0x0000000F
[    1.787834] Interrupt Served: 	 Vector = 0x0000000F
[    1.792072] Interrupt Taken: 	 Vector = 0x0000000F
[    1.792121] Interrupt Served: 	 Vector = 0x0000000F
[    1.795834] Interrupt Taken: 	 Vector = 0x0000000F
[    1.795898] Interrupt Served: 	 Vector = 0x0000000F
[    1.800453] Interrupt Taken: 	 Vector = 0x0000000F
[    1.800617] Interrupt Served: 	 Vector = 0x0000000F
[    1.803448] Interrupt Taken: 	 Vector = 0x0000000F
[    1.803544] Interrupt Served: 	 Vector = 0x0000000F
[    1.807238] Interrupt Taken: 	 Vector = 0x0000000F
[    1.807351] Interrupt Served: 	 Vector = 0x0000000F
[    1.810586] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0x00, pc=0x0800105E 
[    1.810704] Interrupt Taken: 	 Vector = 0x0000000F
[    1.810757] Interrupt Served: 	 Vector = 0x0000000F
[    1.814299] Interrupt Taken: 	 Vector = 0x0000000F
[    1.814399] Interrupt Served: 	 Vector = 0x0000000F
[    1.818088] Interrupt Taken: 	 Vector = 0x0000000F
[    1.818146] Interrupt Served: 	 Vector = 0x0000000F
[    1.821926] Interrupt Taken: 	 Vector = 0x0000000F
[    1.821975] Interrupt Served: 	 Vector = 0x0000000F
[    1.825387] Interrupt Taken: 	 Vector = 0x0000000F
[    1.825434] Interrupt Served: 	 Vector = 0x0000000F
[    1.828801] Interrupt Taken: 	 Vector = 0x0000000F
[    1.828844] Interrupt Served: 	 Vector = 0x0000000F
[    1.833013] Interrupt Taken: 	 Vector = 0x0000000F
[    1.833080] Interrupt Served: 	 Vector = 0x0000000F
[    1.836655] [passthrough] Read: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010000, pc=0x0800080C 
[    1.837139] Interrupt Taken: 	 Vector = 0x0000000F
[    1.837274] Interrupt Served: 	 Vector = 0x0000000F
[    1.840276] Interrupt Taken: 	 Vector = 0x0000000F
[    1.840387] Interrupt Served: 	 Vector = 0x0000000F
[    1.844537] Interrupt Taken: 	 Vector = 0x0000000F
[    1.844611] Interrupt Served: 	 Vector = 0x0000000F
[    1.848161] [passthrough] Write: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010002, pc=0x08000816 
[    1.848892] Interrupt Taken: 	 Vector = 0x0000000F
[    1.849005] Interrupt Served: 	 Vector = 0x0000000F
[    1.851930] Interrupt Taken: 	 Vector = 0x0000000F
[    1.852039] Interrupt Served: 	 Vector = 0x0000000F
[    1.856264] Interrupt Taken: 	 Vector = 0x0000000F
[    1.856363] Interrupt Served: 	 Vector = 0x0000000F
[    1.860139] [passthrough] Read: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010002, pc=0x0800081C 
[    1.860582] Interrupt Taken: 	 Vector = 0x0000000F
[    1.860638] Interrupt Served: 	 Vector = 0x0000000F
[    1.864639] Interrupt Taken: 	 Vector = 0x0000000F
[    1.864710] Interrupt Served: 	 Vector = 0x0000000F
[    1.868297] Interrupt Taken: 	 Vector = 0x0000000F
[    1.868455] Interrupt Served: 	 Vector = 0x0000000F
[    1.871267] Interrupt Taken: 	 Vector = 0x0000000F
[    1.871395] Interrupt Served: 	 Vector = 0x0000000F
[    1.874755] Interrupt Taken: 	 Vector = 0x0000000F
[    1.874805] Interrupt Served: 	 Vector = 0x0000000F
[    1.877637] Interrupt Taken: 	 Vector = 0x0000000F
[    1.877694] Interrupt Served: 	 Vector = 0x0000000F
[    1.881241] Interrupt Taken: 	 Vector = 0x0000000F
[    1.881380] Interrupt Served: 	 Vector = 0x0000000F
[    1.884410] Interrupt Taken: 	 Vector = 0x0000000F
[    1.884515] Interrupt Served: 	 Vector = 0x0000000F
[    1.888242] Interrupt Taken: 	 Vector = 0x0000000F
[    1.888320] Interrupt Served: 	 Vector = 0x0000000F
[    1.891971] Interrupt Taken: 	 Vector = 0x0000000F
[    1.892059] Interrupt Served: 	 Vector = 0x0000000F
[    1.895601] Interrupt Taken: 	 Vector = 0x0000000F
[    1.895647] Interrupt Served: 	 Vector = 0x0000000F
[    1.899023] Interrupt Taken: 	 Vector = 0x0000000F
[    1.899071] Interrupt Served: 	 Vector = 0x0000000F
[    1.902650] Interrupt Taken: 	 Vector = 0x0000000F
[    1.902789] Interrupt Served: 	 Vector = 0x0000000F
[    1.905674] Interrupt Taken: 	 Vector = 0x0000000F
[    1.905750] Interrupt Served: 	 Vector = 0x0000000F
[    1.909155] Interrupt Taken: 	 Vector = 0x0000000F
[    1.909203] Interrupt Served: 	 Vector = 0x0000000F
[    1.913117] Interrupt Taken: 	 Vector = 0x0000000F
[    1.913168] Interrupt Served: 	 Vector = 0x0000000F
[    1.916569] [passthrough] Read: 	 address = 0x5802480C, size = 4 bytes, value = 0x00000042, pc=0x08001636 
[    1.917112] Interrupt Taken: 	 Vector = 0x0000000F
[    1.917175] Interrupt Served: 	 Vector = 0x0000000F
[    1.920825] Interrupt Taken: 	 Vector = 0x0000000F
[    1.920871] Interrupt Served: 	 Vector = 0x0000000F
[    1.924748] Interrupt Taken: 	 Vector = 0x0000000F
[    1.924823] Interrupt Served: 	 Vector = 0x0000000F
[    1.928504] [passthrough] Read: 	 address = 0x5802480C, size = 4 bytes, value = 0x00000042, pc=0x08001642 
[    1.929006] Interrupt Taken: 	 Vector = 0x0000000F
[    1.929093] Interrupt Served: 	 Vector = 0x0000000F
[    1.933099] Interrupt Taken: 	 Vector = 0x0000000F
[    1.933283] Interrupt Served: 	 Vector = 0x0000000F
[    1.936038] Interrupt Taken: 	 Vector = 0x0000000F
[    1.936107] Interrupt Served: 	 Vector = 0x0000000F
[    1.939400] Interrupt Taken: 	 Vector = 0x0000000F
[    1.939466] Interrupt Served: 	 Vector = 0x0000000F
[    1.943352] Interrupt Taken: 	 Vector = 0x0000000F
[    1.943496] Interrupt Served: 	 Vector = 0x0000000F
[    1.946222] Interrupt Taken: 	 Vector = 0x0000000F
[    1.946287] Interrupt Served: 	 Vector = 0x0000000F
[    1.951353] Interrupt Taken: 	 Vector = 0x0000000F
[    1.951441] Interrupt Served: 	 Vector = 0x0000000F
[    1.954994] [passthrough] Read: 	 address = 0x5800042C, size = 4 bytes, value = 0x00000000, pc=0x080006A8 
[    1.955534] Interrupt Taken: 	 Vector = 0x0000000F
[    1.955596] Interrupt Served: 	 Vector = 0x0000000F
[    1.960274] Interrupt Taken: 	 Vector = 0x0000000F
[    1.960369] Interrupt Served: 	 Vector = 0x0000000F
[    1.964002] [passthrough] Write: 	 address = 0x5800042C, size = 4 bytes, value = 0x00000000, pc=0x080006B0 
[    1.964723] Interrupt Taken: 	 Vector = 0x0000000F
[    1.964805] Interrupt Served: 	 Vector = 0x0000000F
[    1.969250] Interrupt Taken: 	 Vector = 0x0000000F
[    1.969316] Interrupt Served: 	 Vector = 0x0000000F
[    1.972806] [passthrough] Read: 	 address = 0x5800042C, size = 4 bytes, value = 0x00000000, pc=0x080006B4 
[    1.973258] Interrupt Taken: 	 Vector = 0x0000000F
[    1.973367] Interrupt Served: 	 Vector = 0x0000000F
[    1.977585] Interrupt Taken: 	 Vector = 0x0000000F
[    1.977646] Interrupt Served: 	 Vector = 0x0000000F
[    1.981123] [passthrough] Read: 	 address = 0x58024818, size = 4 bytes, value = 0x00006000, pc=0x080006BE 
[    1.981607] Interrupt Taken: 	 Vector = 0x0000000F
[    1.981652] Interrupt Served: 	 Vector = 0x0000000F
[    1.986226] [passthrough] Write: 	 address = 0x58024818, size = 4 bytes, value = 0x0000a000, pc=0x080006CA 
[    1.987832] Interrupt Taken: 	 Vector = 0x0000000F
[    1.987915] Interrupt Served: 	 Vector = 0x0000000F
[    1.991685] [passthrough] Read: 	 address = 0x58024818, size = 4 bytes, value = 0x0000a000, pc=0x080006CE 
[    1.992296] Interrupt Taken: 	 Vector = 0x0000000F
[    1.992399] Interrupt Served: 	 Vector = 0x0000000F
[    1.996290] Interrupt Taken: 	 Vector = 0x0000000F
[    1.996492] Interrupt Served: 	 Vector = 0x0000000F
[    1.999423] Interrupt Taken: 	 Vector = 0x0000000F
[    1.999605] Interrupt Served: 	 Vector = 0x0000000F
[    2.003302] [passthrough] Read: 	 address = 0x58024818, size = 4 bytes, value = 0x0000a000, pc=0x080006DC 
[    2.003827] Interrupt Taken: 	 Vector = 0x0000000F
[    2.003958] Interrupt Served: 	 Vector = 0x0000000F
[    2.006897] Interrupt Taken: 	 Vector = 0x0000000F
[    2.007021] Interrupt Served: 	 Vector = 0x0000000F
[    2.010770] Interrupt Taken: 	 Vector = 0x0000000F
[    2.010912] Interrupt Served: 	 Vector = 0x0000000F
[    2.013748] Interrupt Taken: 	 Vector = 0x0000000F
[    2.013837] Interrupt Served: 	 Vector = 0x0000000F
[    2.017763] Interrupt Taken: 	 Vector = 0x0000000F
[    2.017884] Interrupt Served: 	 Vector = 0x0000000F
[    2.020666] Interrupt Taken: 	 Vector = 0x0000000F
[    2.020747] Interrupt Served: 	 Vector = 0x0000000F
[    2.024095] Interrupt Taken: 	 Vector = 0x0000000F
[    2.024183] Interrupt Served: 	 Vector = 0x0000000F
[    2.026792] Interrupt Taken: 	 Vector = 0x0000000F
[    2.026850] Interrupt Served: 	 Vector = 0x0000000F
[    2.029896] Interrupt Taken: 	 Vector = 0x0000000F
[    2.029937] Interrupt Served: 	 Vector = 0x0000000F
[    2.033179] Interrupt Taken: 	 Vector = 0x0000000F
[    2.033213] Interrupt Served: 	 Vector = 0x0000000F
[    2.036817] Interrupt Taken: 	 Vector = 0x0000000F
[    2.036894] Interrupt Served: 	 Vector = 0x0000000F
[    2.039891] [passthrough] Read: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x080017E2 
[    2.040335] Interrupt Taken: 	 Vector = 0x0000000F
[    2.040373] Interrupt Served: 	 Vector = 0x0000000F
[    2.043680] Interrupt Taken: 	 Vector = 0x0000000F
[    2.043726] Interrupt Served: 	 Vector = 0x0000000F
[    2.046807] [passthrough] Read: 	 address = 0x58024428, size = 4 bytes, value = 0x02020200, pc=0x080017EC 
[    2.047239] Interrupt Taken: 	 Vector = 0x0000000F
[    2.047309] Interrupt Served: 	 Vector = 0x0000000F
[    2.050008] Interrupt Taken: 	 Vector = 0x0000000F
[    2.050067] Interrupt Served: 	 Vector = 0x0000000F
[    2.053119] Interrupt Taken: 	 Vector = 0x0000000F
[    2.053164] Interrupt Served: 	 Vector = 0x0000000F
[    2.056311] Interrupt Taken: 	 Vector = 0x0000000F
[    2.056356] Interrupt Served: 	 Vector = 0x0000000F
[    2.059419] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08001808 
[    2.059796] Interrupt Taken: 	 Vector = 0x0000000F
[    2.059876] Interrupt Served: 	 Vector = 0x0000000F
[    2.062618] Interrupt Taken: 	 Vector = 0x0000000F
[    2.062664] Interrupt Served: 	 Vector = 0x0000000F
[    2.065782] Interrupt Taken: 	 Vector = 0x0000000F
[    2.065816] Interrupt Served: 	 Vector = 0x0000000F
[    2.069088] Interrupt Taken: 	 Vector = 0x0000000F
[    2.069128] Interrupt Served: 	 Vector = 0x0000000F
[    2.072353] Interrupt Taken: 	 Vector = 0x0000000F
