[    1.921756] Interrupt Served: 	 Vector = 0x0000000F
[    1.924314] Interrupt Taken: 	 Vector = 0x0000000F
[    1.924402] Interrupt Served: 	 Vector = 0x0000000F
[    1.925875] Interrupt Taken: 	 Vector = 0x0000000F
[    1.925933] Interrupt Served: 	 Vector = 0x0000000F
[    1.927960] [passthrough] Write: 	 address = 0x40023844, size = 4 bytes, value = 0x00004000, pc=0x08000898 
[    1.928610] Interrupt Taken: 	 Vector = 0x0000000F
[    1.928815] Interrupt Served: 	 Vector = 0x0000000F
[    1.930385] Interrupt Taken: 	 Vector = 0x0000000F
[    1.930446] Interrupt Served: 	 Vector = 0x0000000F
[    1.933103] Interrupt Taken: 	 Vector = 0x0000000F
[    1.933223] Interrupt Served: 	 Vector = 0x0000000F
[    1.934922] Interrupt Taken: 	 Vector = 0x0000000F
[    1.934984] Interrupt Served: 	 Vector = 0x0000000F
[    1.936954] [passthrough] Read: 	 address = 0x40023844, size = 4 bytes, value = 0x00004000, pc=0x0800089C 
[    1.937320] Interrupt Taken: 	 Vector = 0x0000000F
[    1.937367] Interrupt Served: 	 Vector = 0x0000000F
[    1.939580] Interrupt Taken: 	 Vector = 0x0000000F
[    1.939646] Interrupt Served: 	 Vector = 0x0000000F
[    1.941632] Interrupt Taken: 	 Vector = 0x0000000F
[    1.941709] Interrupt Served: 	 Vector = 0x0000000F
[    1.944229] Interrupt Taken: 	 Vector = 0x0000000F
[    1.944392] Interrupt Served: 	 Vector = 0x0000000F
[    1.946078] Interrupt Taken: 	 Vector = 0x0000000F
[    1.946535] Interrupt Served: 	 Vector = 0x0000000F
[    1.948739] Interrupt Taken: 	 Vector = 0x0000000F
[    1.948894] Interrupt Served: 	 Vector = 0x0000000F
[    1.952073] Interrupt Taken: 	 Vector = 0x0000000F
[    1.952175] Interrupt Served: 	 Vector = 0x0000000F
[    1.954414] Interrupt Taken: 	 Vector = 0x0000000F
[    1.954483] Interrupt Served: 	 Vector = 0x0000000F
[    1.956621] Interrupt Taken: 	 Vector = 0x0000000F
[    1.956719] Interrupt Served: 	 Vector = 0x0000000F
[    1.959599] Interrupt Taken: 	 Vector = 0x0000000F
[    1.959797] Interrupt Served: 	 Vector = 0x0000000F
[    1.961400] Interrupt Taken: 	 Vector = 0x0000000F
[    1.961484] Interrupt Served: 	 Vector = 0x0000000F
[    1.965688] Interrupt Taken: 	 Vector = 0x0000000F
[    1.965824] Interrupt Served: 	 Vector = 0x0000000F
[    1.968059] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x08000582 
[    1.968442] Interrupt Taken: 	 Vector = 0x0000000F
[    1.968500] Interrupt Served: 	 Vector = 0x0000000F
[    1.971533] Interrupt Taken: 	 Vector = 0x0000000F
[    1.971588] Interrupt Served: 	 Vector = 0x0000000F
[    1.973391] [passthrough] Write: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x0800058A 
[    1.973950] Interrupt Taken: 	 Vector = 0x0000000F
[    1.974003] Interrupt Served: 	 Vector = 0x0000000F
[    1.976968] Interrupt Taken: 	 Vector = 0x0000000F
[    1.977023] Interrupt Served: 	 Vector = 0x0000000F
[    1.978752] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x0800058E 
[    1.979091] Interrupt Taken: 	 Vector = 0x0000000F
[    1.979123] Interrupt Served: 	 Vector = 0x0000000F
[    1.982249] Interrupt Taken: 	 Vector = 0x0000000F
[    1.982397] Interrupt Served: 	 Vector = 0x0000000F
[    1.984699] [passthrough] Read: 	 address = 0x40007000, size = 4 bytes, value = 0x0000c000, pc=0x0800059A 
[    1.985074] Interrupt Taken: 	 Vector = 0x0000000F
[    1.985117] Interrupt Served: 	 Vector = 0x0000000F
[    1.988115] Interrupt Taken: 	 Vector = 0x0000000F
[    1.988269] Interrupt Served: 	 Vector = 0x0000000F
[    1.989834] Interrupt Taken: 	 Vector = 0x0000000F
[    1.989917] Interrupt Served: 	 Vector = 0x0000000F
[    1.992057] [passthrough] Write: 	 address = 0x40007000, size = 4 bytes, value = 0x00004000, pc=0x080005A6 
[    1.992751] Interrupt Taken: 	 Vector = 0x0000000F
[    1.992861] Interrupt Served: 	 Vector = 0x0000000F
[    1.994311] Interrupt Taken: 	 Vector = 0x0000000F
[    1.994363] Interrupt Served: 	 Vector = 0x0000000F
[    1.996998] Interrupt Taken: 	 Vector = 0x0000000F
[    1.997072] Interrupt Served: 	 Vector = 0x0000000F
[    1.999639] [passthrough] Read: 	 address = 0x40007000, size = 4 bytes, value = 0x00004000, pc=0x080005AA 
[    2.000082] Interrupt Taken: 	 Vector = 0x0000000F
[    2.000196] Interrupt Served: 	 Vector = 0x0000000F
[    2.001760] Interrupt Taken: 	 Vector = 0x0000000F
[    2.001825] Interrupt Served: 	 Vector = 0x0000000F
[    2.004891] Interrupt Taken: 	 Vector = 0x0000000F
[    2.005001] Interrupt Served: 	 Vector = 0x0000000F
[    2.006488] Interrupt Taken: 	 Vector = 0x0000000F
[    2.006549] Interrupt Served: 	 Vector = 0x0000000F
[    2.009102] Interrupt Taken: 	 Vector = 0x0000000F
[    2.009180] Interrupt Served: 	 Vector = 0x0000000F
[    2.011421] Interrupt Taken: 	 Vector = 0x0000000F
[    2.011481] Interrupt Served: 	 Vector = 0x0000000F
[    2.013625] Interrupt Taken: 	 Vector = 0x0000000F
[    2.013721] Interrupt Served: 	 Vector = 0x0000000F
[    2.016224] Interrupt Taken: 	 Vector = 0x0000000F
[    2.016292] Interrupt Served: 	 Vector = 0x0000000F
[    2.018450] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00000000, pc=0x0800115C 
[    2.018800] Interrupt Taken: 	 Vector = 0x0000000F
[    2.018840] Interrupt Served: 	 Vector = 0x0000000F
[    2.021003] Interrupt Taken: 	 Vector = 0x0000000F
[    2.021047] Interrupt Served: 	 Vector = 0x0000000F
[    2.023627] [passthrough] Read: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x08001180 
[    2.023990] Interrupt Taken: 	 Vector = 0x0000000F
[    2.024046] Interrupt Served: 	 Vector = 0x0000000F
[    2.026225] Interrupt Taken: 	 Vector = 0x0000000F
[    2.026293] Interrupt Served: 	 Vector = 0x0000000F
[    2.028596] Interrupt Taken: 	 Vector = 0x0000000F
[    2.028702] Interrupt Served: 	 Vector = 0x0000000F
[    2.031199] Interrupt Taken: 	 Vector = 0x0000000F
[    2.031279] Interrupt Served: 	 Vector = 0x0000000F
[    2.033294] [passthrough] Read: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x08001198 
[    2.033656] Interrupt Taken: 	 Vector = 0x0000000F
[    2.033727] Interrupt Served: 	 Vector = 0x0000000F
[    2.036218] Interrupt Taken: 	 Vector = 0x0000000F
[    2.036292] Interrupt Served: 	 Vector = 0x0000000F
[    2.038238] [passthrough] Write: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x080011A8 
[    2.038923] Interrupt Taken: 	 Vector = 0x0000000F
[    2.038963] Interrupt Served: 	 Vector = 0x0000000F
[    2.040871] Interrupt Taken: 	 Vector = 0x0000000F
[    2.040909] Interrupt Served: 	 Vector = 0x0000000F
[    2.042962] Interrupt Taken: 	 Vector = 0x0000000F
[    2.043059] Interrupt Served: 	 Vector = 0x0000000F
[    2.044772] Interrupt Taken: 	 Vector = 0x0000000F
[    2.044821] Interrupt Served: 	 Vector = 0x0000000F
[    2.046950] Interrupt Taken: 	 Vector = 0x0000000F
[    2.047020] Interrupt Served: 	 Vector = 0x0000000F
[    2.049311] Interrupt Taken: 	 Vector = 0x0000000F
[    2.049375] Interrupt Served: 	 Vector = 0x0000000F
[    2.052546] Interrupt Taken: 	 Vector = 0x0000000F
[    2.052815] Interrupt Served: 	 Vector = 0x0000000F
[    2.054375] Interrupt Taken: 	 Vector = 0x0000000F
[    2.054442] Interrupt Served: 	 Vector = 0x0000000F
[    2.056585] Interrupt Taken: 	 Vector = 0x0000000F
[    2.056741] Interrupt Served: 	 Vector = 0x0000000F
[    2.058369] Interrupt Taken: 	 Vector = 0x0000000F
[    2.058459] Interrupt Served: 	 Vector = 0x0000000F
[    2.061255] Interrupt Taken: 	 Vector = 0x0000000F
[    2.061453] Interrupt Served: 	 Vector = 0x0000000F
[    2.062943] Interrupt Taken: 	 Vector = 0x0000000F
[    2.062999] Interrupt Served: 	 Vector = 0x0000000F
[    2.065265] Interrupt Taken: 	 Vector = 0x0000000F
[    2.065349] Interrupt Served: 	 Vector = 0x0000000F
[    2.066841] Interrupt Taken: 	 Vector = 0x0000000F
[    2.066909] Interrupt Served: 	 Vector = 0x0000000F
[    2.069515] Interrupt Taken: 	 Vector = 0x0000000F
[    2.069600] Interrupt Served: 	 Vector = 0x0000000F
[    2.071968] [passthrough] Read: 	 address = 0x40023C00, size = 4 bytes, value = 0x00000000, pc=0x0800157E 
